银河新都,2室1厅,73.76平米,https://sh.lianjia.com/chengjiao/107101626305.html,2019.08.11,318,挂牌322万,成交周期3天,43113,中楼层(共11层),2007年建板楼,南 , 精装
蔷薇新村,1室1厅,51.8平米,https://sh.lianjia.com/chengjiao/107101462820.html,2019.08.11,163,挂牌175万,成交周期49天,31468,高楼层(共6层),1995年建板楼,南 北 , 简装
高兴花园,2室1厅,67.68平米,https://sh.lianjia.com/chengjiao/107101593422.html,2019.08.10,335,挂牌340万,成交周期10天,49424,高楼层(共6层),1996年建板楼,南 , 精装
高兴花园,1室1厅,52.69平米,https://sh.lianjia.com/chengjiao/107101580974.html,2019.08.10,292,挂牌296万,成交周期14天,55324,中楼层(共6层),1996年建板楼,南 , 精装
银兆公寓,2室2厅,93.21平米,https://sh.lianjia.com/chengjiao/107101573256.html,2019.08.09,360,挂牌370万,成交周期15天,38623,低楼层(共8层),2007年建板楼,南 , 毛坯
普乐三村,1室1厅,53.55平米,https://sh.lianjia.com/chengjiao/107101611159.html,2019.08.08,190,挂牌195万,成交周期4天,35481,高楼层(共6层),1996年建板楼,南 , 简装
高兴花园,2室1厅,70.04平米,https://sh.lianjia.com/chengjiao/107101315801.html,2019.08.07,321,挂牌325万,成交周期87天,45831,高楼层(共6层),1998年建板楼,南 , 精装
高兴花园,2室1厅,59.5平米,https://sh.lianjia.com/chengjiao/107101590776.html,2019.08.07,304,挂牌308万,成交周期8天,51009,中楼层(共6层),1996年建板楼,南 , 简装
锦乐馨苑东苑,2室1厅,84.06平米,https://sh.lianjia.com/chengjiao/107101603346.html,2019.08.06,389,挂牌400万,成交周期4天,46277,高楼层(共9层),2015年建板楼,南 , 简装
春申景城湖畔林语,2室1厅,75.54平米,https://sh.lianjia.com/chengjiao/107101460170.html,2019.08.06,491,挂牌509万,成交周期45天,64999,低楼层(共17层),2007年建板楼,南 , 精装
银河新都,1室1厅,51.6平米,https://sh.lianjia.com/chengjiao/107101381483.html,2019.08.05,232,挂牌239万,成交周期65天,44962,中楼层(共13层),2007年建板楼,南 , 毛坯
江南欣苑(闵行),2室2厅,88.86平米,https://sh.lianjia.com/chengjiao/107101129760.html,2019.08.05,450,挂牌458万,成交周期141天,50642,中楼层(共14层),2008年建板楼,南 , 精装
银河新都,2室1厅,63.39平米,https://sh.lianjia.com/chengjiao/107101598268.html,2019.08.04,273,挂牌282万,成交周期4天,43067,高楼层(共11层),2007年建板楼,南 北 , 精装
高兴花园,2室1厅,69.03平米,https://sh.lianjia.com/chengjiao/107101357302.html,2019.08.04,321,挂牌329万,成交周期71天,46502,高楼层(共6层),1996年建板楼,南 , 简装
上海春城,2室2厅,94.59平米,https://sh.lianjia.com/chengjiao/107101432078.html,2019.07.29,550,挂牌569万,成交周期45天,58146,低楼层(共11层),2004年建板楼,南 , 精装
蔷薇新村,2室1厅,75.46平米,https://sh.lianjia.com/chengjiao/107101543866.html,2019.07.29,265,挂牌270万,成交周期13天,35118,高楼层(共6层),1995年建板楼,南 , 精装
蔷薇新村,2室1厅,66.55平米,https://sh.lianjia.com/chengjiao/107101291527.html,2019.07.29,215,挂牌238万,成交周期85天,32307,高楼层(共6层),1998年建板楼,西 , 简装
高兴花园,2室1厅,76.9平米,https://sh.lianjia.com/chengjiao/107101544763.html,2019.07.28,344,挂牌346万,成交周期11天,44734,高楼层(共6层),1998年建板楼,南 , 精装
森安苑,2室1厅,73.56平米,https://sh.lianjia.com/chengjiao/107101271202.html,2019.07.25,270,挂牌279万,成交周期87天,36705,低楼层(共6层),2002年建板楼,南 , 精装
春申景城湖滨晨韵,2室2厅,79.43平米,https://sh.lianjia.com/chengjiao/107101396871.html,2019.07.23,540,挂牌556万,成交周期49天,67985,中楼层(共17层),2005年建板楼,南 , 精装
都市宜家苑,3室2厅,100.94平米,https://sh.lianjia.com/chengjiao/107101517518.html,2019.07.23,420,挂牌427万,成交周期14天,41609,高楼层(共6层),2004年建板楼,南 , 精装
常兴家园,2室1厅,60.23平米,https://sh.lianjia.com/chengjiao/107101510155.html,2019.07.22,335,挂牌336万,成交周期16天,55621,低楼层(共6层),1999年建板楼,南 , 简装
森安苑,2室1厅,73.61平米,https://sh.lianjia.com/chengjiao/107101553991.html,2019.07.22,267,挂牌274万,成交周期3天,36273,低楼层(共6层),2002年建板楼,南 , 简装
