星丰苑,1室1厅,51.4平米,https://sh.lianjia.com/chengjiao/107101915340.html,2019.11.14,205,挂牌215万,成交周期19天,39884,高楼层(共6层),1998年建板楼,南 , 简装
莘沥路20弄,3室1厅,87.8平米,https://sh.lianjia.com/chengjiao/107101908019.html,2019.11.12,453,挂牌460万,成交周期19天,51595,高楼层(共6层),1994年建板楼,南 , 简装
莘城苑,3室2厅,89.47平米,https://sh.lianjia.com/chengjiao/107101702478.html,2019.11.11,318,挂牌339万,成交周期73天,35543,低楼层(共6层),2004年建板楼,南 , 毛坯
都市星城,2室2厅,84.81平米,https://sh.lianjia.com/chengjiao/107101582523.html,2019.11.11,520,挂牌560万,成交周期107天,61314,低楼层(共10层),2006年建板楼,南 , 精装
沁春园一村,1室1厅,57.18平米,https://sh.lianjia.com/chengjiao/107101729879.html,2019.11.11,228,挂牌240万,成交周期65天,39875,低楼层(共6层),1997年建板楼,南 , 简装
沁春园三村,2室2厅,95.88平米,https://sh.lianjia.com/chengjiao/107101736763.html,2019.11.11,467,挂牌485万,成交周期63天,48707,中楼层(共11层),2005年建板楼,南 北 , 精装
万科假日风景(公寓),2室3厅,98.56平米,https://sh.lianjia.com/chengjiao/107101250467.html,2019.11.11,575,挂牌583万,成交周期202天,58341,低楼层(共11层),2006年建板楼,南 , 精装
莘南花苑二村,2室1厅,65.47平米,https://sh.lianjia.com/chengjiao/107101456373.html,2019.11.11,345,挂牌365万,成交周期142天,52620,低楼层(共6层),1996年建板楼,南 , 简装
春申府邸,2室2厅,100平米,https://sh.lianjia.com/chengjiao/107100468644.html,2019.11.10,429,挂牌439万,成交周期484天,42900,高楼层(共6层),2007年建板楼,南 , 精装
上海康城,3室2厅,103.15平米,https://sh.lianjia.com/chengjiao/107101816422.html,2019.11.09,342,挂牌356万,成交周期37天,33156,低楼层(共16层),2008年建板楼,南 , 精装
上海康城,2室1厅,104.67平米,https://sh.lianjia.com/chengjiao/107101320112.html,2019.11.07,370,挂牌385万,成交周期178天,35278,中楼层(共8层),2002年建板楼,南 , 简装
好世鹿鸣苑,2室1厅,100.03平米,https://sh.lianjia.com/chengjiao/107101769277.html,2019.11.04,694,挂牌719万,成交周期46天,69380,中楼层(共17层),2007年建板楼,南 , 精装
上海康城,2室2厅,100.86平米,https://sh.lianjia.com/chengjiao/107101748587.html,2019.11.03,356,挂牌366万,成交周期52天,35297,中楼层(共17层),2008年建板楼,南 北 , 精装
绿梅三村,2室2厅,63.74平米,https://sh.lianjia.com/chengjiao/107101275257.html,2019.11.01,275,挂牌305万,成交周期185天,43145,中楼层(共6层),1993年建板楼,南 , 精装
绿梅二村,2室1厅,68.53平米,https://sh.lianjia.com/chengjiao/107100291938.html,2019.10.31,263,挂牌263万,成交周期535天,38319,高楼层(共6层),1994年建板楼,南 , 简装
沁春园三村,2室2厅,84.55平米,https://sh.lianjia.com/chengjiao/107101888811.html,2019.10.31,396,挂牌408万,成交周期13天,46837,高楼层(共6层),2004年建板楼,南 北 , 精装
西环二村,2室2厅,91.09平米,https://sh.lianjia.com/chengjiao/107101143957.html,2019.10.29,353,挂牌360万,成交周期222天,38753,高楼层(共6层),1994年建板楼,南 , 精装
星丰苑,2室1厅,66.23平米,https://sh.lianjia.com/chengjiao/107101902360.html,2019.10.27,273,挂牌278万,成交周期5天,41220,中楼层(共6层),1998年建板楼,南 , 简装
富林苑(三期),2室2厅,77.75平米,https://sh.lianjia.com/chengjiao/107101678257.html,2019.10.27,335,挂牌348万,成交周期65天,43087,低楼层(共7层),2009年建板楼,南 , 毛坯
小富人家,3室2厅,104.7平米,https://sh.lianjia.com/chengjiao/107101850681.html,2019.10.26,500,挂牌518万,成交周期13天,47756,中楼层(共6层),2003年建板楼,南 , 精装
都市星城,2室2厅,93平米,https://sh.lianjia.com/chengjiao/107101880942.html,2019.10.24,608,挂牌620万,成交周期8天,65377,高楼层(共11层),2006年建板楼,南 北 , 精装
万科假日风景(公寓),2室2厅,89.44平米,https://sh.lianjia.com/chengjiao/107101710477.html,2019.10.22,573,挂牌595万,成交周期51天,64066,高楼层(共6层),2002年建板楼,南 , 精装
黎安一村,2室1厅,67.21平米,https://sh.lianjia.com/chengjiao/107101828042.html,2019.10.21,270,挂牌279万,成交周期15天,40099,高楼层(共6层),1994年建板楼,南 , 简装
黎安一村(北区),2室1厅,67.63平米,https://sh.lianjia.com/chengjiao/107101643698.html,2019.10.21,300,挂牌308万,成交周期68天,44360,中楼层(共6层),1994年建板楼,南 北 , 简装
沁春园三村,2室2厅,87.4平米,https://sh.lianjia.com/chengjiao/107101682075.html,2019.10.20,444,挂牌460万,成交周期57天,50744,中楼层(共11层),2004年建板楼,南 , 简装
江南名邸,2室2厅,96.75平米,https://sh.lianjia.com/chengjiao/107101851586.html,2019.10.20,506,挂牌525万,成交周期8天,52300,高楼层(共14层),2004年建板楼,南 北 , 简装
莘城苑,2室2厅,81.68平米,https://sh.lianjia.com/chengjiao/107101668416.html,2019.10.20,293,挂牌305万,成交周期60天,35872,低楼层(共6层),1999年建板楼,南 , 简装
公园天下,2室1厅,59.61平米,https://sh.lianjia.com/chengjiao/107101811696.html,2019.10.20,330,挂牌340万,成交周期19天,55360,高楼层(共6层),2001年建板楼,南 , 毛坯
上海康城,2室2厅,103.45平米,https://sh.lianjia.com/chengjiao/107101856087.html,2019.10.20,420,挂牌430万,成交周期6天,40600,低楼层(共18层),2005年建板楼,南 , 精装
东苑利景花苑,3室2厅,106.15平米,https://sh.lianjia.com/chengjiao/107101510954.html,2019.10.20,645,挂牌660万,成交周期106天,60764,中楼层(共5层),2002年建板楼,南 , 精装
莘南花苑一村,3室1厅,74.55平米,https://sh.lianjia.com/chengjiao/107101315067.html,2019.10.16,383,挂牌398万,成交周期157天,51375,高楼层(共6层),1999年建板楼,南 北 , 精装
莘城苑,2室2厅,81.68平米,https://sh.lianjia.com/chengjiao/107100352937.html,2019.10.16,265,挂牌275万,成交周期499天,32383,低楼层(共6层),1998年建板楼,南 , 简装
绿梅二村,2室1厅,59.13平米,https://sh.lianjia.com/chengjiao/107101714544.html,2019.10.16,272,挂牌287万,成交周期44天,46001,中楼层(共6层),1994年建板楼,南 , 简装
邻里苑,2室2厅,90.57平米,https://sh.lianjia.com/chengjiao/107101695184.html,2019.10.16,387,挂牌396万,成交周期49天,42730,低楼层(共17层),2009年建板楼,南 , 简装
西环三村,2室1厅,59.32平米,https://sh.lianjia.com/chengjiao/107101728851.html,2019.10.15,217,挂牌235万,成交周期38天,36582,中楼层(共6层),1994年建板楼,南 , 简装
沁春园一村,2室1厅,63.86平米,https://sh.lianjia.com/chengjiao/107101524564.html,2019.10.15,273,挂牌285万,成交周期96天,42750,高楼层(共6层),1994年建板楼,南 , 简装
都市苑,2室2厅,91.02平米,https://sh.lianjia.com/chengjiao/107101357102.html,2019.10.14,452,挂牌468万,成交周期142天,49660,中楼层(共6层),2002年建板楼,南 北 , 精装
西环三村,2室1厅,62.41平米,https://sh.lianjia.com/chengjiao/107101357291.html,2019.10.14,264,挂牌270万,成交周期142天,42301,中楼层(共6层),1995年建板楼,南 , 简装
